"region","country","iso_code","year","cases_total","cases_imported","deaths_total","cfr"
"AFR0","Burkina Faso","BFA",1991,537,NA,61,0.113594040968343
"AFR0","Burkina Faso","BFA",1995,1451,NA,113,0.0778773259820813
"AFR0","Burkina Faso","BFA",1996,425,NA,58,0.136470588235294
"AFR0","Burkina Faso","BFA",1998,1036,NA,52,0.0501930501930502
"AFR0","Burkina Faso","BFA",1999,93,NA,7,0.0752688172043011
"AFR0","Burkina Faso","BFA",2000,617,NA,14,0.0226904376012966
"AFR0","Burkina Faso","BFA",2001,477,NA,7,0.0146750524109015
"AFR0","Burkina Faso","BFA",2003,1,NA,NA,NA
"AFR0","Burkina Faso","BFA",2005,1050,NA,16,0.0152380952380952
"AFR0","Burkina Faso","BFA",2006,0,NA,0,NA
"AFR0","Burkina Faso","BFA",2008,0,NA,0,NA
"AFR0","Burkina Faso","BFA",2011,20,NA,2,0.1
"AFR0","Burkina Faso","BFA",2012,143,NA,7,0.048951048951049
"AFR0","Burkina Faso","BFA",2021,3,NA,0,0
"AFR0","Burundi","BDI",1978,8297,NA,248,0.0298903218030613
"AFR0","Burundi","BDI",1979,915,NA,31,0.033879781420765
"AFR0","Burundi","BDI",1980,2039,NA,28,0.0137322216772928
"AFR0","Burundi","BDI",1981,582,NA,11,0.0189003436426117
"AFR0","Burundi","BDI",1982,415,NA,9,0.0216867469879518
"AFR0","Burundi","BDI",1983,512,NA,35,0.068359375
"AFR0","Burundi","BDI",1984,180,NA,10,0.0555555555555556
"AFR0","Burundi","BDI",1985,259,NA,15,0.0579150579150579
"AFR0","Burundi","BDI",1990,82,NA,NA,NA
"AFR0","Burundi","BDI",1991,3,NA,NA,NA
"AFR0","Burundi","BDI",1992,479,NA,29,0.0605427974947808
"AFR0","Burundi","BDI",1993,78,NA,0,0
"AFR0","Burundi","BDI",1994,562,NA,41,0.0729537366548043
"AFR0","Burundi","BDI",1995,2297,NA,NA,NA
"AFR0","Burundi","BDI",1996,418,NA,NA,NA
"AFR0","Burundi","BDI",1997,1959,NA,95,0.0484941296579888
"AFR0","Burundi","BDI",1998,1067,NA,26,0.0243673851921275
"AFR0","Burundi","BDI",1999,3440,NA,63,0.0183139534883721
"AFR0","Burundi","BDI",2000,1021,NA,16,0.0156709108716944
"AFR0","Burundi","BDI",2001,1003,NA,20,0.0199401794616152
"AFR0","Burundi","BDI",2002,577,NA,8,0.0138648180242634
"AFR0","Burundi","BDI",2003,432,NA,18,0.0416666666666667
"AFR0","Burundi","BDI",2004,819,NA,14,0.0170940170940171
"AFR0","Burundi","BDI",2005,1309,NA,18,0.0137509549274255
"AFR0","Burundi","BDI",2006,886,NA,7,0.00790067720090293
"AFR0","Burundi","BDI",2007,365,NA,2,0.00547945205479452
"AFR0","Burundi","BDI",2008,234,NA,4,0.0170940170940171
"AFR0","Burundi","BDI",2009,355,NA,0,0
"AFR0","Burundi","BDI",2010,333,NA,1,0.003003003003003
"AFR0","Burundi","BDI",2011,1072,NA,1,0.000932835820895522
"AFR0","Burundi","BDI",2012,214,NA,1,0.00467289719626168
"AFR0","Burundi","BDI",2013,1557,NA,17,0.0109184328837508
"AFR0","Burundi","BDI",2014,582,NA,9,0.0154639175257732
"AFR0","Burundi","BDI",2015,442,NA,0,0
"AFR0","Burundi","BDI",2016,434,NA,5,0.0115207373271889
"AFR0","Burundi","BDI",2017,399,NA,0,0
"AFR0","Burundi","BDI",2018,92,NA,1,0.0108695652173913
"AFR0","Burundi","BDI",2019,1145,NA,9,0.00786026200873362
"AFR0","Burundi","BDI",2020,277,NA,5,0.0180505415162455
"AFR0","Burundi","BDI",2021,11,NA,0,0
"AFR0","Cameroon","CMR",1971,2167,NA,336,0.155053068758653
"AFR0","Cameroon","CMR",1972,362,NA,27,0.074585635359116
"AFR0","Cameroon","CMR",1973,206,NA,16,0.0776699029126214
"AFR0","Cameroon","CMR",1974,83,NA,16,0.192771084337349
"AFR0","Cameroon","CMR",1975,3,NA,0,0
"AFR0","Cameroon","CMR",1976,135,NA,27,0.2
"AFR0","Cameroon","CMR",1978,3,NA,0,0
"AFR0","Cameroon","CMR",1979,16,NA,4,0.25
"AFR0","Cameroon","CMR",1980,229,NA,23,0.100436681222707
"AFR0","Cameroon","CMR",1981,243,NA,17,0.0699588477366255
"AFR0","Cameroon","CMR",1982,5,NA,3,0.6
"AFR0","Cameroon","CMR",1983,55,NA,18,0.327272727272727
"AFR0","Cameroon","CMR",1984,392,NA,60,0.153061224489796
"AFR0","Cameroon","CMR",1985,1158,NA,103,0.0889464594127807
"AFR0","Cameroon","CMR",1986,165,NA,12,0.0727272727272727
"AFR0","Cameroon","CMR",1987,94,NA,6,0.0638297872340425
"AFR0","Cameroon","CMR",1988,4,NA,0,0
"AFR0","Cameroon","CMR",1989,4,NA,2,0.5
